5.0,10.0,-2.0,(-65.0; -115.0; -1.67814)
2.500000000000001,11.542993879113723,0.30859877582274553,(43.68508; 31.18508; 1.04098)
1.2500000000000082,10.933179386854523,0.01630322321583011,(5.93523; 2.81023; -0.1247)
0.6250000000000053,10.995681423468668,-9.320112826372712E-5,(1.16471; 0.38346; 2.2E-4)
0.3125000000000036,10.995574242910882,-9.084792816573158E-10,(0.29297; 0.09766; -0.0)
0.15625000000000167,10.995574287582887,4.070377019963561E-18,(0.07325; 0.02442; 1.0E-5)
0.07812500000000082,10.995574287564269,9.261907197555983E-19,(0.01832; 0.00611; -0.0)
0.03906250000000038,10.995574287564276,4.5276454611125954E-20,(0.00458; 0.00153; 0.0)
0.0195312500000002,10.995574287564276,-2.1573904351148653E-21,(0.00115; 3.9E-4; 0.0)
0.009765625000000094,10.995574287564276,1.655551331212366E-19,(2.9E-4; 1.0E-4; 0.0)
0.0048828125000000425,10.995574287564276,5.677664326987413E-21,(8.0E-5; 3.0E-5; 0.0)
0.0024414062500000173,10.995574287564276,5.954666434616108E-22,(2.0E-5; 1.0E-5; 0.0)
0.0012207031250000056,10.995574287564276,1.322455004319153E-22,(1.0E-5; 1.0E-5; 0.0)
6.103515625000062E-4,10.995574287564276,-1.0339757656912846E-25,(1.0E-5; 1.0E-5; 0.0)
